neg,neu,pos,compound,channel
0.079,0.801,0.12,1.0,KaiserHealthNews
0.188,0.681,0.132,-1.0,NBChealth
0.187,0.687,0.125,-1.0,bbchealth
0.175,0.714,0.11,-1.0,cbchealth
0.135,0.704,0.161,1.0,cnnhealth
0.105,0.682,0.213,1.0,everydayhealth
0.175,0.689,0.136,-1.0,foxnewshealth
0.11,0.691,0.199,1.0,gdnhealthcare
0.085,0.667,0.248,1.0,goodhealth
0.144,0.707,0.149,0.9973,latimeshealth
0.197,0.649,0.154,-1.0,msnhealthnews
0.133,0.735,0.132,0.5956,nprhealth
0.145,0.722,0.133,-1.0,nytimeshealth
0.169,0.716,0.115,-1.0,reuters_health
0.098,0.692,0.21,1.0,usnewshealth
0.11,0.773,0.117,0.9995,wsjhealth
